account_name,contact_email,created_date,lead_source,opportunity_amount,is_active,sfdc_id,annual_revenue,last_activity,custom_field,region,notes_flag,deal_score,engagement_level,num_calls,page_duration,city,state,country
Globex,help@globex.com,2023-12-22,Referral,1000.0,True,,1000000.0,2025-06-29,"{""type"": ""B"", ""value"": 200}",North America,,0.1,0.3609,,370,,,United States
Globex,help@globex.com,,Referral,50000.0,True,,5000000.0,,,North America,Notes_Flag,0.1,,11.0,124,San Francisco,California,United States
Wonka,,2023-11-02,Partner,10000.0,False,001A000001,1000000.0,2025-03-14,"{""type"": ""B"", ""value"": 200}",North America,,0.25,0.3706,37.0,5,Chicago,Illinois,United States
Globex,help@globex.com,2022-12-24,Email Campaign,10000.0,False,,100000.0,,"{""type"": ""A"", ""value"": 100}",North America,Notes_Flag,0.75,0.9472,40.0,418,New York City,New York,United States
Globex,help@globex.com,2022-12-01,Email Campaign,,True,,1000000.0,2024-05-05,,,,0.1,,,182,San Francisco,California,United States
Globex,help@globex.com,2024-09-19,Email Campaign,1000.0,False,001A000001,1000000.0,,,North America,Notes_Flag,1.0,0.2619,9.0,413,New York City,New York,United States
Umbrella,,2020-01-01,Social Media,50000.0,False,001B000002,2500000.0,2024-05-05,"{""type"": ""A"", ""value"": 100}",North America,,0.75,0.8897,32.0,207,San Francisco,California,United States
Acme Corp,contact@acme.com,2020-01-01,Trade Show,25000.0,False,001A000001,1000000.0,2024-05-05,,,,0.1,,19.0,329,Chicago,Illinois,United States
Umbrella,,2020-01-01,Partner,50000.0,True,,1000000.0,2025-06-10,"{""type"": ""A"", ""value"": 100}",North America,,0.1,0.6427,,363,New York City,New York,United States
Umbrella,,2022-12-01,Trade Show,,False,001C000003,1000000.0,,,North America,Notes_Flag,0.75,0.4945,50.0,315,New York City,New York,United States
Globex,help@globex.com,2023-04-26,Web,10000.0,False,,1000000.0,,,North America,,0.25,,3.0,374,Chicago,Illinois,United States
Globex,help@globex.com,,Web,50000.0,True,,100000.0,,"{""type"": ""A"", ""value"": 100}",North America,,1.0,0.3345,47.0,237,Chicago,Illinois,United States
Umbrella,,2022-12-01,Social Media,,True,,1000000.0,2025-04-15,"{""type"": ""A"", ""value"": 100}",,,0.5,0.2894,,459,New York City,New York,United States
Soylent,,2025-04-22,Social Media,10000.0,False,,1000000.0,,"{""type"": ""B"", ""value"": 200}",North America,,0.25,,22.0,313,Chicago,Illinois,United States
Umbrella,,,Email Campaign,10000.0,True,001B000002,100000.0,2025-07-21,"{""type"": ""A"", ""value"": 100}",North America,,,0.3783,28.0,232,Chicago,Illinois,United States
Soylent,,2024-12-04,,50000.0,False,001B000002,1000000.0,2024-05-05,"{""type"": ""A"", ""value"": 100}",North America,Notes_Flag,0.5,0.1491,32.0,419,,,
Acme Corp,contact@acme.com,2022-12-01,Phone Inquiry,50000.0,True,,100000.0,2025-04-06,"{""type"": ""A"", ""value"": 100}",North America,,0.1,,,48,San Francisco,California,United States
Soylent,,2020-01-01,Trade Show,50000.0,False,001A000001,999999.0,2024-05-05,,North America,Notes_Flag,1.0,0.6323,6.0,177,San Francisco,California,United States
Acme Corp,contact@acme.com,,Referral,,False,,5000000.0,2024-05-05,,North America,,1.0,0.624,19.0,265,Chicago,Illinois,United States
Umbrella,,2022-12-01,Web,50000.0,False,001B000002,1000000.0,,,North America,,0.25,,5.0,230,San Francisco,California,United States
,,2025-04-20,,1000.0,True,,1000000.0,2024-05-05,"{""type"": ""B"", ""value"": 200}",North America,Notes_Flag,0.75,0.9381,,9,Chicago,Illinois,United States
Acme Corp,contact@acme.com,2025-07-29,Email Campaign,25000.0,False,001B000002,1000000.0,,"{""type"": ""B"", ""value"": 200}",,Notes_Flag,0.25,0.3586,11.0,125,New York City,New York,United States
Umbrella,,2022-12-01,Referral,0.0,True,001C000003,1000000.0,,"{""type"": ""B"", ""value"": 200}",North America,,0.1,,12.0,180,New York City,New York,United States
Soylent,,,Email Campaign,50000.0,True,,1000000.0,,,,,0.5,0.2182,19.0,92,Chicago,Illinois,United States
Acme Corp,contact@acme.com,2020-01-01,Social Media,1000.0,False,,100000.0,,,North America,,0.75,0.6383,,377,Chicago,Illinois,United States
Globex,help@globex.com,,Email Campaign,1000.0,,001B000002,100000.0,2025-01-16,"{""type"": ""B"", ""value"": 200}",North America,Notes_Flag,,,35.0,228,San Francisco,California,United States
Globex,help@globex.com,2024-04-30,Email Campaign,10000.0,False,001B000002,999999.0,2024-10-20,,North America,,0.75,0.5502,4.0,217,San Francisco,California,United States
Globex,help@globex.com,2022-12-01,,50000.0,False,,1000000.0,2024-11-19,,,Notes_Flag,0.1,0.6257,20.0,341,Chicago,Illinois,United States
Initech,,2025-07-30,Partner,1000.0,True,,1000000.0,,,North America,,1.0,,,497,,,United States
Globex,help@globex.com,,Email Campaign,,True,,1000000.0,,"{""type"": ""A"", ""value"": 100}",North America,Notes_Flag,0.5,0.161,42.0,462,New York City,New York,United States
Umbrella,,2020-01-01,Email Campaign,10000.0,True,001B000002,1000000.0,2024-10-17,,North America,Notes_Flag,0.25,0.7779,43.0,287,New York City,New York,United States
Initech,,,Referral,50000.0,True,001C000003,1000000.0,2025-02-08,,,,0.1,,37.0,79,Chicago,Illinois,United States
Umbrella,,,Referral,1000.0,False,,1000000.0,,,,,,0.752,,155,Chicago,Illinois,United States
Soylent,,,Email Campaign,25000.0,False,001A000001,1000000.0,,,,,0.5,0.8664,36.0,22,New York City,New York,United States
Globex,help@globex.com,2022-12-01,Social Media,,False,,1000000.0,2024-05-05,,North America,Notes_Flag,1.0,,10.0,138,San Francisco,California,United States
Umbrella,,2020-01-01,Web,25000.0,True,001C000003,1000000.0,,,North America,Notes_Flag,0.25,0.4898,26.0,257,New York City,New York,United States
Wonka,,2022-12-01,Social Media,25000.0,True,,2500000.0,2024-05-05,,,Notes_Flag,,0.012,,217,New York City,New York,United States
Globex,help@globex.com,2020-01-01,Web,1000.0,True,001B000002,5000000.0,2024-12-22,,North America,,0.25,,25.0,201,San Francisco,California,United States
Umbrella,,2023-03-19,Social Media,,False,,1000000.0,,,North America,,0.1,0.9601,23.0,58,Chicago,Illinois,United States
Umbrella,,2022-11-07,Referral,50000.0,True,001C000003,2500000.0,,,,Notes_Flag,,0.5211,38.0,344,Chicago,Illinois,United States
Globex,help@globex.com,,Referral,0.0,False,,1000000.0,,"{""type"": ""B"", ""value"": 200}",North America,,0.75,,,277,San Francisco,California,United States
Globex,help@globex.com,2025-03-31,Referral,50000.0,False,,100000.0,,,,,0.75,0.7135,32.0,87,New York City,New York,United States
Umbrella,,,Trade Show,50000.0,True,001C000003,2500000.0,2024-05-05,"{""type"": ""B"", ""value"": 200}",North America,Notes_Flag,1.0,0.0349,36.0,465,Chicago,Illinois,United States
Umbrella,,,Email Campaign,1000.0,True,001C000003,1000000.0,,"{""type"": ""A"", ""value"": 100}",North America,,0.5,,31.0,410,Chicago,Illinois,United States
Umbrella,,,Social Media,1000.0,True,001A000001,2500000.0,,,,,1.0,0.3309,,15,New York City,New York,United States
Globex,help@globex.com,2024-06-24,Phone Inquiry,50000.0,False,001A000001,100000.0,,"{""type"": ""A"", ""value"": 100}",North America,Notes_Flag,0.1,0.6784,15.0,284,San Francisco,California,United States
Globex,help@globex.com,2022-12-01,Trade Show,50000.0,False,001C000003,1000000.0,2025-02-28,,,Notes_Flag,0.5,,50.0,276,Chicago,Illinois,United States
Globex,help@globex.com,2025-06-29,Social Media,,False,001C000003,100000.0,,,North America,,,0.9259,16.0,419,New York City,New York,United States
Wonka,,2022-12-01,Web,10000.0,False,001B000002,100000.0,,"{""type"": ""B"", ""value"": 200}",North America,Notes_Flag,0.25,0.2001,,236,New York City,New York,United States
Umbrella,,,Trade Show,10000.0,False,,1000000.0,2025-03-22,,North America,Notes_Flag,0.1,,2.0,164,New York City,New York,United States
Soylent,,2025-02-17,Referral,50000.0,True,,100000.0,,,,,1.0,0.5074,31.0,175,Chicago,Illinois,United States
Globex,help@globex.com,2024-06-12,Phone Inquiry,50000.0,True,001A000001,1000000.0,2025-05-30,,North America,Notes_Flag,0.1,0.8189,40.0,440,San Francisco,California,United States
Acme Corp,contact@acme.com,2024-08-30,,10000.0,True,001A000001,2500000.0,,"{""type"": ""A"", ""value"": 100}",North America,,,,,397,San Francisco,California,United States
Soylent,,2024-09-10,Email Campaign,,False,001B000002,5000000.0,,,North America,,,0.8831,24.0,318,San Francisco,California,United States
Soylent,,2025-05-18,Social Media,,False,001B000002,1000000.0,,"{""type"": ""A"", ""value"": 100}",North America,,1.0,0.3915,23.0,357,Chicago,Illinois,United States
Acme Corp,contact@acme.com,,Partner,,True,001C000003,1000000.0,,,North America,,0.5,,30.0,81,Chicago,Illinois,United States
Umbrella,,2022-12-01,Referral,1000.0,True,,,,,,,0.5,0.2574,,281,New York City,New York,United States
Acme Corp,contact@acme.com,,Referral,10000.0,False,001A000001,1000000.0,,,North America,,0.1,0.4549,35.0,479,San Francisco,California,United States
Soylent,,2025-06-07,Referral,10000.0,True,001A000001,1000000.0,2024-08-20,,,Notes_Flag,1.0,,20.0,60,San Francisco,California,United States
Soylent,,,Social Media,10000.0,True,001B000002,100000.0,,,,,0.25,0.9347,12.0,241,Chicago,Illinois,United States
Soylent,,2025-06-22,Trade Show,,True,,5000000.0,2024-11-25,,North America,Notes_Flag,0.5,0.8419,,34,San Francisco,California,United States
Soylent,,2022-12-01,Phone Inquiry,25000.0,False,001A000001,,2024-05-05,"{""type"": ""A"", ""value"": 100}",North America,,0.1,,7.0,96,Chicago,Illinois,United States
Soylent,,2023-03-20,Referral,0.0,False,,1000000.0,,"{""type"": ""A"", ""value"": 100}",North America,Notes_Flag,,0.9085,35.0,192,Chicago,Illinois,United States
Soylent,,2023-07-12,Email Campaign,50000.0,True,,1000000.0,,"{""type"": ""B"", ""value"": 200}",North America,Notes_Flag,0.25,0.6318,8.0,326,Chicago,Illinois,United States
Initech,,2022-12-01,Trade Show,25000.0,True,001C000003,1000000.0,,"{""type"": ""B"", ""value"": 200}",North America,,0.5,,,28,Chicago,Illinois,United States
Globex,help@globex.com,2023-10-22,Email Campaign,10000.0,False,,1000000.0,,"{""type"": ""A"", ""value"": 100}",,Notes_Flag,0.5,0.7518,7.0,90,San Francisco,California,United States
Soylent,,,Social Media,50000.0,False,001A000001,999999.0,2024-10-21,"{""type"": ""B"", ""value"": 200}",,,0.25,0.0513,15.0,473,San Francisco,California,United States
Umbrella,,,Email Campaign,10000.0,False,001A000001,1000000.0,,,,,0.75,,15.0,206,Chicago,Illinois,United States
Umbrella,,2023-09-16,Social Media,1000.0,False,,1000000.0,,"{""type"": ""B"", ""value"": 200}",North America,,0.75,0.2573,,346,Chicago,Illinois,United States
Soylent,,2025-05-16,Referral,1000.0,True,001C000003,5000000.0,,,,,0.1,0.4692,5.0,213,San Francisco,California,United States
Umbrella,,2022-12-01,Trade Show,10000.0,False,001C000003,1000000.0,2024-05-05,,North America,,0.5,,9.0,218,Chicago,Illinois,United States
Umbrella,,2023-02-17,Social Media,10000.0,False,,2500000.0,,"{""type"": ""B"", ""value"": 200}",,,0.1,0.8378,28.0,171,Chicago,Illinois,United States
Acme Corp,contact@acme.com,2024-12-04,Trade Show,25000.0,False,001A000001,1000000.0,,,North America,,,0.3722,,146,New York City,New York,United States
Globex,help@globex.com,,,0.0,True,,1000000.0,,"{""type"": ""A"", ""value"": 100}",North America,Notes_Flag,0.1,,40.0,109,New York City,New York,United States
Umbrella,,2025-01-04,Trade Show,,True,001A000001,2500000.0,2025-01-03,,North America,Notes_Flag,1.0,0.6522,15.0,408,San Francisco,California,United States
Umbrella,,2024-08-24,Phone Inquiry,0.0,True,,100000.0,2024-05-05,"{""type"": ""A"", ""value"": 100}",North America,Notes_Flag,,0.8325,35.0,323,San Francisco,California,United States
Soylent,,,Social Media,1000.0,False,,1000000.0,,"{""type"": ""A"", ""value"": 100}",North America,,0.75,,,457,San Francisco,California,United States
Umbrella,,2025-04-11,Referral,50000.0,True,,999999.0,2024-05-05,"{""type"": ""B"", ""value"": 200}",North America,,,0.7277,6.0,75,Chicago,Illinois,United States
Umbrella,,2025-05-19,,50000.0,True,001B000002,2500000.0,,,North America,,0.75,0.9974,42.0,157,New York City,New York,United States
Umbrella,,2023-02-04,Social Media,25000.0,False,,2500000.0,2025-03-06,"{""type"": ""A"", ""value"": 100}",North America,,0.75,,29.0,471,San Francisco,California,United States
Globex,help@globex.com,2025-06-20,Referral,1000.0,True,001C000003,2500000.0,,,North America,,0.1,0.5255,,328,,,
Acme Corp,contact@acme.com,2025-04-22,Email Campaign,25000.0,True,001A000001,5000000.0,2024-05-05,,North America,Notes_Flag,0.1,0.2951,14.0,7,San Francisco,California,United States
Wonka,,2024-04-04,Email Campaign,1000.0,True,001C000003,1000000.0,,"{""type"": ""B"", ""value"": 200}",,,0.1,,15.0,290,San Francisco,California,United States
Umbrella,,2024-07-05,Partner,0.0,False,001B000002,1000000.0,,,,Notes_Flag,,0.8491,28.0,195,New York City,New York,United States
Initech,,,Social Media,10000.0,True,,5000000.0,,,North America,Notes_Flag,0.75,0.4832,,63,Chicago,Illinois,United States
Globex,help@globex.com,2023-01-13,Social Media,10000.0,True,001A000001,1000000.0,,,,Notes_Flag,,,0.0,270,Chicago,Illinois,United States
Globex,help@globex.com,2020-01-01,Social Media,1000.0,False,001C000003,2500000.0,,"{""type"": ""B"", ""value"": 200}",North America,Notes_Flag,1.0,0.9011,39.0,175,San Francisco,California,United States
Globex,help@globex.com,,,10000.0,True,,2500000.0,2024-11-01,,,,,0.266,4.0,14,San Francisco,California,United States
Umbrella,,2025-03-19,Trade Show,50000.0,True,001A000001,1000000.0,2024-08-25,,North America,,0.75,,,5,New York City,New York,United States
Soylent,,2024-04-30,Referral,50000.0,True,001A000001,1000000.0,2024-11-01,"{""type"": ""B"", ""value"": 200}",North America,,,0.0223,7.0,80,Chicago,Illinois,United States
Acme Corp,contact@acme.com,2022-12-01,Social Media,25000.0,False,001A000001,2500000.0,,,,,0.25,0.4204,13.0,159,New York City,New York,United States
Globex,help@globex.com,2020-01-01,Web,1000.0,True,001A000001,1000000.0,2024-05-05,,North America,,1.0,,32.0,128,San Francisco,California,United States
Globex,help@globex.com,2020-01-01,Web,0.0,False,001A000001,100000.0,2025-04-03,,,Notes_Flag,0.1,0.563,,240,Chicago,Illinois,United States
Soylent,,2023-12-04,Referral,1000.0,False,,1000000.0,2024-11-08,,North America,,1.0,0.3309,45.0,207,Chicago,Illinois,United States
Umbrella,,2024-08-08,Email Campaign,1000.0,True,001B000002,2500000.0,,,North America,Notes_Flag,,,2.0,205,San Francisco,California,United States
Umbrella,,2023-11-28,Social Media,50000.0,True,,,2025-05-28,"{""type"": ""B"", ""value"": 200}",,,0.75,0.1651,44.0,83,Chicago,Illinois,United States
Globex,help@globex.com,2025-03-07,Referral,1000.0,True,,5000000.0,,,North America,,0.25,0.334,,497,Chicago,Illinois,United States
Soylent,,,Referral,,False,001C000003,1000000.0,2024-05-05,"{""type"": ""A"", ""value"": 100}",North America,Notes_Flag,0.1,,2.0,72,Chicago,Illinois,United States
Soylent,,2022-12-01,Email Campaign,10000.0,True,,100000.0,2025-06-22,,North America,,0.75,0.589,28.0,203,Chicago,Illinois,United States
Umbrella,,2024-08-08,Web,1000.0,False,001C000003,1000000.0,2024-09-30,,North America,,0.5,0.4418,2.0,444,Chicago,Illinois,United States
Acme Corp,contact@acme.com,,Email Campaign,1000.0,,,1000000.0,2024-05-05,,North America,,1.0,,,426,New York City,New York,United States
Umbrella,,,Email Campaign,50000.0,True,001C000003,5000000.0,2025-05-13,,,,0.75,0.6087,3.0,346,Chicago,Illinois,United States
Globex,help@globex.com,,Referral,0.0,True,001A000001,1000000.0,2024-05-05,,North America,,1.0,0.3035,20.0,285,San Francisco,California,United States
Globex,help@globex.com,,Email Campaign,,True,001B000002,2500000.0,,,North America,Notes_Flag,,,4.0,44,San Francisco,California,United States
Acme Corp,contact@acme.com,,Email Campaign,1000.0,True,,2500000.0,2025-06-23,"{""type"": ""A"", ""value"": 100}",North America,,0.25,0.6777,,35,San Francisco,California,United States
Globex,help@globex.com,,Referral,10000.0,False,001B000002,1000000.0,2024-11-03,"{""type"": ""A"", ""value"": 100}",,,0.25,0.1855,12.0,361,New York City,New York,United States
Acme Corp,contact@acme.com,2022-12-01,Referral,50000.0,False,001C000003,2500000.0,,,North America,Notes_Flag,0.75,,15.0,62,Chicago,Illinois,United States
Soylent,,2022-12-01,Trade Show,50000.0,True,,1000000.0,,,North America,,0.5,0.1664,30.0,222,San Francisco,California,United States
Acme Corp,contact@acme.com,2023-08-04,Trade Show,1000.0,True,001C000003,1000000.0,2024-05-05,,North America,Notes_Flag,,0.1518,,466,New York City,New York,United States
Umbrella,,2023-02-05,Social Media,1000.0,True,001A000001,2500000.0,,"{""type"": ""B"", ""value"": 200}",,Notes_Flag,,,14.0,471,San Francisco,California,United States
Globex,help@globex.com,,Partner,50000.0,False,001A000001,1000000.0,,,North America,Notes_Flag,1.0,0.6387,4.0,389,Chicago,Illinois,United States
Soylent,,,Social Media,50000.0,True,001A000001,1000000.0,2024-05-05,,North America,Notes_Flag,0.25,0.4861,33.0,379,San Francisco,California,United States
Acme Corp,contact@acme.com,2025-06-27,Social Media,,False,001C000003,1000000.0,,"{""type"": ""B"", ""value"": 200}",North America,,0.5,,,183,New York City,New York,United States
Globex,help@globex.com,,Email Campaign,0.0,True,001B000002,100000.0,,,North America,Notes_Flag,0.1,0.5123,37.0,237,New York City,New York,United States
Wonka,,2025-07-09,Trade Show,50000.0,False,,1000000.0,,,North America,,0.5,0.2033,2.0,293,New York City,New York,United States
Umbrella,,2025-07-15,Referral,50000.0,False,001A000001,2500000.0,,,North America,Notes_Flag,0.75,,27.0,449,San Francisco,California,United States
Globex,help@globex.com,2025-01-13,Trade Show,,False,001C000003,,,"{""type"": ""A"", ""value"": 100}",North America,,0.5,0.6234,,383,New York City,New York,United States
Umbrella,,2025-01-03,Referral,50000.0,False,,1000000.0,2024-11-10,,North America,,0.5,0.7167,35.0,73,New York City,New York,United States
Acme Corp,contact@acme.com,2024-12-31,Trade Show,1000.0,False,,1000000.0,2024-05-05,,,,,,39.0,112,New York City,New York,United States
Soylent,,2024-10-31,Trade Show,25000.0,True,001A000001,2500000.0,2024-05-05,"{""type"": ""B"", ""value"": 200}",North America,,0.5,0.1651,4.0,491,San Francisco,California,United States
Umbrella,,2022-12-01,Referral,10000.0,True,001A000001,1000000.0,,,,Notes_Flag,0.25,0.9223,,272,Chicago,Illinois,United States
Globex,help@globex.com,2024-08-01,Trade Show,10000.0,True,,,,"{""type"": ""A"", ""value"": 100}",,Notes_Flag,,,50.0,61,New York City,New York,United States
Acme Corp,contact@acme.com,2022-12-01,Trade Show,1000.0,True,,1000000.0,2025-01-01,,North America,,1.0,0.3001,14.0,228,Chicago,Illinois,United States
Acme Corp,contact@acme.com,,Email Campaign,50000.0,False,,2500000.0,2025-06-15,"{""type"": ""A"", ""value"": 100}",North America,Notes_Flag,0.1,0.0188,31.0,83,,,United States
Acme Corp,contact@acme.com,,Trade Show,50000.0,False,,1000000.0,2024-05-05,,North America,,,,,342,,,United States
Umbrella,,2022-12-01,Referral,50000.0,False,001B000002,1000000.0,,,,,1.0,0.2685,41.0,86,New York City,New York,United States
Globex,help@globex.com,,Email Campaign,1000.0,False,,5000000.0,2024-05-05,"{""type"": ""A"", ""value"": 100}",North America,,0.75,0.6463,36.0,247,San Francisco,California,United States
Acme Corp,contact@acme.com,2022-12-01,Referral,50000.0,False,001C000003,,2024-05-05,"{""type"": ""B"", ""value"": 200}",North America,Notes_Flag,,,22.0,443,San Francisco,California,United States
Acme Corp,contact@acme.com,2023-12-10,Email Campaign,50000.0,True,001A000001,5000000.0,,"{""type"": ""B"", ""value"": 200}",North America,,1.0,0.313,,280,Chicago,Illinois,United States
Globex,help@globex.com,,Web,50000.0,False,,1000000.0,2025-01-08,,North America,Notes_Flag,0.5,0.0575,29.0,195,Chicago,Illinois,United States
Globex,help@globex.com,2024-04-02,Referral,10000.0,False,001B000002,5000000.0,2024-05-05,,,Notes_Flag,0.5,,25.0,93,New York City,New York,United States
Globex,help@globex.com,2023-02-18,Phone Inquiry,10000.0,False,,2500000.0,2024-05-05,,North America,Notes_Flag,0.25,0.2409,8.0,112,San Francisco,California,United States
Acme Corp,contact@acme.com,2024-04-08,Referral,,False,,1000000.0,,,North America,,0.75,0.7077,,116,Chicago,Illinois,United States
Initech,,2022-12-29,Referral,0.0,True,001A000001,1000000.0,2025-01-01,"{""type"": ""A"", ""value"": 100}",,,0.25,,29.0,433,Chicago,Illinois,United States
Acme Corp,contact@acme.com,2020-01-01,Referral,25000.0,False,001B000002,100000.0,,,North America,Notes_Flag,0.1,0.1131,16.0,198,New York City,New York,United States
Soylent,,2020-01-01,Trade Show,1000.0,False,001A000001,1000000.0,,"{""type"": ""A"", ""value"": 100}",,,0.1,0.7146,42.0,12,New York City,New York,United States
Umbrella,,2022-12-01,Trade Show,50000.0,False,001B000002,5000000.0,2024-10-14,"{""type"": ""B"", ""value"": 200}",North America,Notes_Flag,0.25,,,133,San Francisco,California,United States
Umbrella,,,Email Campaign,10000.0,False,001B000002,2500000.0,,,North America,Notes_Flag,1.0,0.2729,44.0,155,New York City,New York,United States
Umbrella,,,Phone Inquiry,25000.0,False,001B000002,1000000.0,2024-05-05,,,,1.0,0.7256,49.0,293,Chicago,Illinois,United States
Acme Corp,contact@acme.com,2020-01-01,Trade Show,50000.0,False,,1000000.0,,"{""type"": ""A"", ""value"": 100}",North America,Notes_Flag,1.0,,18.0,467,New York City,New York,United States
Umbrella,,2022-12-01,Email Campaign,50000.0,True,,100000.0,2025-04-12,,North America,Notes_Flag,0.25,0.2743,,340,Chicago,Illinois,United States
Globex,help@globex.com,,Email Campaign,,False,,100000.0,2025-06-13,"{""type"": ""A"", ""value"": 100}",North America,Notes_Flag,0.75,0.2597,47.0,371,New York City,New York,United States
Soylent,,,Social Media,50000.0,True,,100000.0,2024-05-05,"{""type"": ""B"", ""value"": 200}",North America,Notes_Flag,1.0,,19.0,184,,,United States
Soylent,,2022-12-01,Email Campaign,10000.0,False,001A000001,1000000.0,,,North America,,0.1,0.6532,33.0,490,San Francisco,California,United States
Globex,help@globex.com,2024-09-15,Social Media,0.0,True,,,,,North America,,0.5,0.554,,229,Chicago,Illinois,United States
Globex,help@globex.com,2024-11-02,Email Campaign,10000.0,False,,100000.0,2024-05-05,,,,0.1,,50.0,197,Chicago,Illinois,United States
Umbrella,,,Trade Show,50000.0,True,001C000003,2500000.0,2024-05-05,"{""type"": ""B"", ""value"": 200}",,Notes_Flag,0.25,0.0494,3.0,287,San Francisco,California,United States
Globex,help@globex.com,,,1000.0,True,,100000.0,,"{""type"": ""B"", ""value"": 200}",North America,,0.5,0.9705,44.0,335,Chicago,Illinois,United States
Acme Corp,contact@acme.com,,Trade Show,50000.0,False,,100000.0,,,North America,,0.5,,,42,Chicago,Illinois,United States
Globex,help@globex.com,2024-08-20,Partner,25000.0,False,001C000003,5000000.0,,,,Notes_Flag,0.75,0.5021,41.0,179,,,United States
Wonka,,2020-01-01,Email Campaign,50000.0,False,001A000001,1000000.0,,"{""type"": ""B"", ""value"": 200}",,Notes_Flag,0.75,0.0807,45.0,499,San Francisco,California,United States
Globex,help@globex.com,2024-03-12,,50000.0,False,,1000000.0,2024-05-05,,North America,,0.75,,16.0,465,New York City,New York,United States
Globex,help@globex.com,,Referral,10000.0,True,,1000000.0,,,North America,Notes_Flag,0.1,0.2099,,264,San Francisco,California,United States
Umbrella,,,Social Media,1000.0,True,,100000.0,2024-05-05,"{""type"": ""B"", ""value"": 200}",,Notes_Flag,,0.5013,35.0,422,New York City,New York,United States
Acme Corp,contact@acme.com,2022-12-01,Partner,50000.0,True,001A000001,1000000.0,,"{""type"": ""B"", ""value"": 200}",North America,,0.25,,4.0,192,Chicago,Illinois,United States
Soylent,,2023-12-07,Referral,1000.0,True,,2500000.0,2025-05-21,"{""type"": ""B"", ""value"": 200}",North America,,1.0,0.2463,24.0,318,San Francisco,California,United States
Umbrella,,,Social Media,50000.0,True,,1000000.0,,,,Notes_Flag,0.25,0.9232,,363,Chicago,Illinois,United States
Globex,help@globex.com,2022-12-01,Trade Show,50000.0,True,,1000000.0,,,North America,Notes_Flag,0.25,,20.0,359,San Francisco,California,United States
Acme Corp,contact@acme.com,2022-12-01,Email Campaign,10000.0,True,,1000000.0,,"{""type"": ""B"", ""value"": 200}",,Notes_Flag,0.25,0.5614,34.0,69,New York City,New York,United States
Umbrella,,,Email Campaign,50000.0,False,001C000003,1000000.0,,"{""type"": ""A"", ""value"": 100}",,,0.75,0.7134,8.0,400,New York City,New York,United States
Acme Corp,contact@acme.com,2025-05-19,Email Campaign,,True,,2500000.0,,,,Notes_Flag,0.1,,,73,San Francisco,California,United States
Umbrella,,2025-01-08,,50000.0,False,001C000003,999999.0,,,North America,,,0.5642,50.0,33,Chicago,Illinois,United States
Acme Corp,contact@acme.com,2022-12-01,,50000.0,True,001A000001,1000000.0,,,,Notes_Flag,0.5,0.2805,7.0,305,New York City,New York,United States
Soylent,,2022-12-01,Social Media,50000.0,True,001A000001,1000000.0,,,North America,,1.0,,4.0,70,New York City,New York,United States
Globex,help@globex.com,2025-01-05,Phone Inquiry,50000.0,False,001C000003,,,"{""type"": ""A"", ""value"": 100}",North America,,0.75,0.3581,,120,Chicago,Illinois,United States
Initech,,2025-07-02,Email Campaign,,True,,2500000.0,2025-02-20,,,,0.1,0.421,21.0,24,New York City,New York,United States
Soylent,,,,50000.0,True,,1000000.0,,,North America,,0.75,,20.0,158,Chicago,Illinois,United States
Umbrella,,,Phone Inquiry,50000.0,True,,2500000.0,2025-02-05,,,Notes_Flag,0.5,0.5712,1.0,429,San Francisco,California,United States
Umbrella,,,Email Campaign,25000.0,True,001B000002,1000000.0,,"{""type"": ""B"", ""value"": 200}",North America,Notes_Flag,0.75,0.021,,270,New York City,New York,United States
Umbrella,,,Referral,,False,,1000000.0,2024-11-21,"{""type"": ""B"", ""value"": 200}",,Notes_Flag,,,43.0,311,New York City,New York,United States
Globex,help@globex.com,2022-12-01,Trade Show,,True,,1000000.0,,,North America,,0.75,0.6385,40.0,257,Chicago,Illinois,United States
Acme Corp,contact@acme.com,,Partner,1000.0,True,001A000001,2500000.0,,,North America,,1.0,0.1696,3.0,65,San Francisco,California,United States
Umbrella,,,Trade Show,1000.0,True,,5000000.0,2025-07-18,"{""type"": ""A"", ""value"": 100}",North America,,0.5,,,194,New York City,New York,United States
Soylent,,2020-01-01,Trade Show,25000.0,False,,1000000.0,2025-01-09,,North America,,0.1,0.2342,36.0,129,San Francisco,California,United States
Acme Corp,contact@acme.com,,Trade Show,50000.0,False,001B000002,2500000.0,2025-03-23,,,,0.75,0.2362,14.0,16,Chicago,Illinois,United States
Globex,help@globex.com,,Social Media,1000.0,False,001C000003,1000000.0,,"{""type"": ""B"", ""value"": 200}",,Notes_Flag,0.5,,39.0,128,New York City,New York,United States
Globex,help@globex.com,2020-01-01,Social Media,50000.0,False,001C000003,1000000.0,,"{""type"": ""B"", ""value"": 200}",,Notes_Flag,0.25,0.9419,,209,New York City,New York,United States
Wonka,,,Trade Show,1000.0,False,,1000000.0,,"{""type"": ""A"", ""value"": 100}",North America,Notes_Flag,0.25,0.6486,42.0,239,New York City,New York,United States
Umbrella,,2022-12-01,Phone Inquiry,25000.0,False,,2500000.0,,,North America,,1.0,,27.0,112,Chicago,Illinois,United States
Globex,help@globex.com,,Phone Inquiry,,True,,1000000.0,,,North America,Notes_Flag,0.25,0.4177,42.0,103,Chicago,Illinois,United States
