Account Name,account_name,AccountName,Contact Email,contact_email,Created Date,created_date,Lead Source,lead_source,Opportunity Amount,opportunity_amount,Is Active,is_active,SFDC ID,sfdc_id,Annual Revenue,annual_revenue,Last Activity,Custom Field,Region,Unnamed: 0,,Random Notes,Deal Score,Engagement Level,Num Calls,Time on Page (sec),City,State,Country
Globex,,Initech,contact@acme.com,missing.com,not_a_date,2022/12/01,Phone Inquiry,Social Media,Ten Thousand,N/A,yes,1,,12345,5M,1000000,2024-10-21 19:37:11.167934,"{""type"": ""B"", ""value"": 200}",N.A.,115,,,100.0,0.9359174967449121,4.0,301,chicago,,U.S.
Initech,Umbrella,,noemail,missing.com,2025-05-07 19:35:42.522036,,Phone Inquiry,,1000,25000,no,False,001A000001,BAD_ID,,1000000,Called client,"{""type"": ""B"", ""value"": 200}",N.A.,116,,Valid,75.0,0.6643439411804918,,167,,California,United States
Globex,,Globex,,,01-01-2020,2024-09-12 19:35:42.523454,,Email Campaign,1000,0,no,1,001A000001,,,999999,,"{""type"": null}",,117,,N/A,10.0,,27.0,155,nyc,California,United States
,Acme Corp,,contact@acme.com,missing.com,,2025-07-08 19:35:42.523456,Web,Email Campaign,,Fifty Thousand,,0,abc123,001B000002,One Million,1000000,,"{""type"": null}",United States,118,,N/A,,0.3624417861739877,14.0,47,nyc,Illinois,
Initech,Acme Corp,Globex,noemail,help@globex.com,01-01-2020,,Phone Inquiry,Trade Show,1000,Fifty Thousand,False,,XYZ-00001,BAD_ID,one million,1000000,,"{""type"": ""A"", ""value"": 100}",,119,,See notes,,0.9550213018359888,39.0,189,,California,U.S.
,Acme Corp,Initech,invalid@,,2025-07-12 19:35:42.522044,2024-11-20 19:35:42.523460,Phone Inquiry,Social Media,,0,no,0,abc123,001C000003,1000000,,2025-03-28 19:37:11.167964,"{""type"": ""B"", ""value"": 200}",United States,120,,N/A,,,,359,chicago,CA,United States
Globex,Globex,Globex,,user@,2025-06-01 19:35:42.522046,2022/12/01,Partner,Social Media,,,,True,,001C000003,"$1,000,000",1000000,2024-05-05,"{""type"": null}",N.A.,121,,Valid,50.0,0.8877918267182953,38.0,292,Chicago,California,
,Soylent,,contact@acme.com,missing.com,01-01-2020,2022/12/01,,Social Media,,0,True,0,,,,,42,"{""type"": ""B"", ""value"": 200}",United States,122,,Valid,10.0,0.36101072634527476,20.0,352,nyc,,
Globex,Umbrella,Globex,,missing.com,2025-01-24 19:35:42.522052,2022/12/01,,,,,yes,0,XYZ-00001,,One Million,999999,42,"{""type"": null}",NA,123,,See notes,10.0,,35.0,37,,Illinois,U.S.
Initech,Umbrella,Globex,noemail,help@globex.com,,NaT,,Trade Show,,Fifty Thousand,active,0,XYZ-00001,001C000003,,1000000,2024-05-05,"{""type"": ""B"", ""value"": 200}",NA,124,,,,0.136425888600467,,402,,IL,
Acme Corp,Soylent,Globex,,,01-01-2020,2022/12/01,Web,Email Campaign,,25000,True,,,001B000002,2500000,999999,42,"{""type"": ""A"", ""value"": 100}",United States,125,,,25.0,0.20820398623003966,5.0,117,chicago,CA,U.S.
,Globex,,noemail,help@globex.com,2025-02-06 19:35:42.522061,2022/12/01,,Trade Show,,0,active,False,001A000001,12345,Not Available,999999,2024-05-05,"{""type"": ""B"", ""value"": 200}",N.A.,126,,See notes,,,49.0,422,,,us
,Acme Corp,Wonka,invalid@,,2025-06-24 19:35:42.522065,NaT,,Social Media,50000,Fifty Thousand,True,False,,,Not Available,1000000,,"{""type"": ""A"", ""value"": 100}",NA,127,,N/A,25.0,0.5447141561149177,19.0,70,nyc,N.Y.,us
Globex,Umbrella,,,user@,2024-12-26 19:35:42.522068,,Partner,Trade Show,Ten Thousand,25000,True,0,abc123,BAD_ID,N/A,1000000,2025-04-26 19:37:11.167992,"{""type"": ""B"", ""value"": 200}",North America,128,,See notes,10.0,0.8753360755935369,,149,,,USA
Globex,,Globex,,,2024-12-05 19:35:42.522073,2024-08-31 19:35:42.523480,,Referral,1000,25000,yes,1,001A000001,12345,One Million,1000000,,,North America,129,,N/A,,,48.0,355,Chicago,Illinois,U.S.
,Globex,,contact@acme.com,missing.com,2025-05-25 19:35:42.522076,2022/12/01,Phone Inquiry,Email Campaign,50000,N/A,,False,XYZ-00001,001B000002,One Million,1000000,42,"{""type"": ""B"", ""value"": 200}",North America,130,,,75.0,0.03861166642758984,18.0,162,chicago,IL,us
,Globex,Initech,contact@acme.com,user@,2025-04-19 19:35:42.522079,2024-03-24 19:35:42.523485,,,,N/A,True,False,001A000001,BAD_ID,1000000,1000000,42,"{""type"": null}",N.A.,131,,,75.0,0.6716768525935598,38.0,212,nyc,CA,United States
Globex,Acme Corp,,invalid@,,01-01-2020,2024-09-01 19:35:42.523487,,Email Campaign,50000,Fifty Thousand,no,True,,12345,5M,1000000,2025-02-28 19:37:11.168002,N/A,,132,,,25.0,,,207,,,USA
,Globex,,contact@acme.com,user@,01-01-2020,2022/12/01,,,50000,25000,yes,True,abc123,,"$1,000,000",,42,"{""type"": null}",United States,133,,,10.0,0.2699923847792224,44.0,417,San Francisco,NY,U.S.
,Soylent,Wonka,contact@acme.com,user@,,2025-05-07 19:35:42.523492,Web,Email Campaign,Ten Thousand,,yes,1,,,N/A,1000000,42,N/A,US,134,,,,0.8054666922536998,6.0,239,nyc,N.Y.,us
Initech,Umbrella,Initech,contact@acme.com,,2025-02-26 19:35:42.522094,2024-06-06 19:35:42.523494,,Trade Show,,N/A,active,False,,001B000002,1000000,1000000,2024-05-05,"{""type"": ""B"", ""value"": 200}",US,135,,,50.0,,11.0,347,,N.Y.,U.S.
Initech,Acme Corp,Initech,invalid@,,2025-06-09 19:35:42.522098,NaT,,,,,True,,abc123,001B000002,,1000000,2024-05-05,"{""type"": ""A"", ""value"": 100}",NA,136,,N/A,25.0,0.18072965785619388,,54,San Francisco,N.Y.,us
Globex,Umbrella,Wonka,,,,,Web,,,N/A,False,False,XYZ-00001,001C000003,,1000000,2024-05-05,"{""type"": null}",,137,,,10.0,0.31002942706349956,31.0,31,nyc,CA,United States
Acme Corp,Globex,,noemail,user@,not_a_date,2022/12/01,Phone Inquiry,,Ten Thousand,0,active,0,XYZ-00001,,2500000,1000000,42,,North America,138,,,25.0,,16.0,270,nyc,,United States
Acme Corp,Acme Corp,Globex,,user@,01-01-2020,2024-06-05 19:35:42.523503,Web,Trade Show,1000,Fifty Thousand,no,1,abc123,001C000003,1000000,1000000,42,,United States,139,,Valid,10.0,0.02710405301577945,32.0,107,Chicago,IL,
Acme Corp,Soylent,Initech,contact@acme.com,help@globex.com,,,,Social Media,Ten Thousand,Fifty Thousand,no,True,abc123,001C000003,"$5,000,000",1000000,,"{""type"": ""A"", ""value"": 100}",US,140,,N/A,50.0,0.4090421983753707,,218,,,United States
Globex,Globex,,,missing.com,2025-03-29 19:35:42.522109,,Web,Social Media,50000,25000,active,0,,BAD_ID,1000K,1000000,2025-01-26 19:37:11.168031,"{""type"": null}",,141,,N/A,,,5.0,70,New York,California,USA
Globex,Soylent,,noemail,missing.com,not_a_date,2025-06-30 19:35:42.523510,Web,Email Campaign,Ten Thousand,N/A,False,True,,12345,1000000,1000000,2025-05-30 19:37:11.168033,"{""type"": null}",,142,,,100.0,0.39490179123923563,26.0,305,Chicago,California,
Acme Corp,,,noemail,,,2025-07-22 19:35:42.523512,Phone Inquiry,Email Campaign,50000,Fifty Thousand,True,1,,001B000002,100000,,,"{""type"": ""A"", ""value"": 100}",US,143,,Valid,10.0,0.24559503973425645,10.0,238,San Francisco,CA,
Initech,Globex,,noemail,user@,01-01-2020,NaT,Phone Inquiry,Social Media,1000,N/A,,1,,,N/A,1000000,2024-08-08 19:37:11.168037,,United States,144,,,100.0,,,259,San Francisco,,U.S.
,,Wonka,noemail,help@globex.com,01-01-2020,NaT,Phone Inquiry,Referral,50000,25000,False,False,,001C000003,5000000,,Called client,"{""type"": ""B"", ""value"": 200}",United States,145,,Valid,75.0,0.671948048214384,34.0,69,,N.Y.,
,Soylent,Initech,,,not_a_date,,Web,Email Campaign,50000,0,active,False,abc123,001C000003,1000000.00,,42,"{""type"": ""A"", ""value"": 100}",N.A.,146,,Valid,25.0,0.24366893856845717,48.0,149,,N.Y.,U.S.
,Acme Corp,,,missing.com,01-01-2020,2022/12/01,,,50000,Fifty Thousand,active,True,001A000001,,1000000,1000000,2024-05-05,,United States,147,,,25.0,,49.0,265,New York,California,United States
,Acme Corp,,,missing.com,,2024-05-12 19:35:42.523523,,Email Campaign,Ten Thousand,0,active,True,,,2500000,999999,2024-12-01 19:37:11.168046,"{""type"": ""A"", ""value"": 100}",US,148,,Valid,25.0,0.13934446663741962,,155,nyc,CA,us
Globex,,Initech,,user@,2024-11-17 19:35:42.522132,,Web,,50000,Fifty Thousand,False,1,XYZ-00001,12345,100000,1000000,Called client,"{""type"": ""B"", ""value"": 200}",N.A.,149,,,75.0,0.8969368287969408,34.0,97,New York,California,U.S.
Globex,Acme Corp,Initech,contact@acme.com,missing.com,not_a_date,2024-12-30 19:35:42.523527,Partner,Email Campaign,,,no,True,001A000001,001B000002,1M,,Called client,"{""type"": ""B"", ""value"": 200}",United States,150,,,,,2.0,352,,,us
,Umbrella,Globex,contact@acme.com,missing.com,not_a_date,2022/12/01,,Trade Show,,N/A,active,False,XYZ-00001,001C000003,"1,000,000",1000000,,N/A,North America,151,,N/A,25.0,0.32083505497190745,18.0,218,,,United States
Globex,Globex,Initech,contact@acme.com,,,2023-03-05 19:35:42.523532,Phone Inquiry,Trade Show,,0,False,,abc123,001C000003,two million five hundred thousand,1000000,2024-05-05,"{""type"": null}",NA,152,,,50.0,0.05399466605024694,,470,nyc,IL,United States
Initech,,Initech,,missing.com,not_a_date,,,Referral,,Fifty Thousand,True,0,,12345,"1,000,000",,Called client,N/A,North America,153,,,10.0,,27.0,83,,Illinois,USA
Acme Corp,Soylent,Wonka,,user@,01-01-2020,2022/12/01,,Email Campaign,50000,25000,False,False,,001B000002,1000K,999999,42,,N.A.,154,,N/A,100.0,0.8007537953436189,13.0,21,chicago,Illinois,U.S.
,Acme Corp,Wonka,invalid@,help@globex.com,2025-01-09 19:35:42.522155,NaT,,Trade Show,Ten Thousand,Fifty Thousand,False,True,XYZ-00001,,,1000000,2025-06-22 19:37:11.168061,"{""type"": null}",N.A.,155,,Valid,,0.1161675097516578,25.0,76,,Illinois,United States
,Umbrella,Globex,noemail,help@globex.com,not_a_date,2022/12/01,Web,Email Campaign,Ten Thousand,N/A,,1,XYZ-00001,BAD_ID,2.5M,1000000,2024-05-05,"{""type"": ""A"", ""value"": 100}",,156,,Valid,,,,185,Chicago,IL,USA
Globex,Acme Corp,Wonka,contact@acme.com,,2025-02-01 19:35:42.522159,,,Social Media,Ten Thousand,Fifty Thousand,True,1,,001C000003,one million,,42,"{""type"": ""A"", ""value"": 100}",North America,157,,Valid,50.0,0.26005382023189527,18.0,299,,NY,us
,,,,user@,not_a_date,,Partner,Referral,50000,0,False,,,,,999999,42,"{""type"": ""B"", ""value"": 200}",US,158,,See notes,75.0,0.293660436794273,32.0,221,San Francisco,California,us
,Acme Corp,Wonka,invalid@,user@,,2022/12/01,,Email Campaign,,N/A,False,1,XYZ-00001,001B000002,1000K,,Called client,"{""type"": ""A"", ""value"": 100}",N.A.,159,,See notes,25.0,,29.0,138,chicago,NY,us
Acme Corp,Globex,Globex,contact@acme.com,user@,2025-04-04 19:35:42.522166,2022/12/01,Web,Email Campaign,,0,,True,001A000001,BAD_ID,"1,000,000",,2025-04-23 19:37:11.168073,"{""type"": ""A"", ""value"": 100}",NA,160,,Valid,75.0,0.9623834838283872,,122,chicago,CA,
,Soylent,Wonka,contact@acme.com,user@,not_a_date,2022/12/01,,Social Media,,N/A,True,1,,,"$1,000,000",999999,,N/A,NA,161,,,50.0,0.1344025290781128,43.0,293,nyc,IL,USA
Initech,Umbrella,,,help@globex.com,2025-01-27 19:35:42.522170,2024-11-26 19:35:42.523553,Phone Inquiry,Trade Show,1000,0,False,,XYZ-00001,BAD_ID,1000000,1000000,2024-05-05,"{""type"": null}",US,162,,Valid,100.0,,41.0,401,,Illinois,
,Globex,,,user@,2025-04-07 19:35:42.522172,,Partner,Social Media,50000,Fifty Thousand,no,,XYZ-00001,001B000002,1000000,,2024-05-05,"{""type"": null}",US,163,,N/A,100.0,0.26841997919225813,46.0,32,San Francisco,Illinois,United States
Initech,Acme Corp,,,help@globex.com,01-01-2020,2022/12/01,,Trade Show,1000,,no,True,abc123,BAD_ID,5M,,2024-05-05,N/A,North America,164,,N/A,25.0,0.38360977647206285,,12,,NY,U.S.
Globex,Umbrella,Wonka,invalid@,,,2022/12/01,Partner,Trade Show,1000,Fifty Thousand,False,False,001A000001,001B000002,"$1,000,000",1000000,2024-05-05,"{""type"": ""B"", ""value"": 200}",United States,165,,,,,3.0,61,nyc,,us
Initech,Soylent,Initech,contact@acme.com,user@,not_a_date,2024-07-31 19:35:42.523562,,Email Campaign,,,True,False,abc123,001C000003,100000,1000000,,"{""type"": ""B"", ""value"": 200}",,166,,N/A,100.0,0.481482646854857,50.0,461,San Francisco,CA,USA
,Umbrella,,noemail,,,,,Referral,Ten Thousand,Fifty Thousand,False,False,,12345,5000000,1000000,42,"{""type"": ""B"", ""value"": 200}",North America,167,,See notes,100.0,0.14489916561559435,6.0,491,Chicago,N.Y.,United States
Acme Corp,Umbrella,Initech,contact@acme.com,user@,,2023-09-17 19:35:42.523566,,,,,yes,0,001A000001,12345,"$1,000,000",1000000,2024-05-05,"{""type"": ""A"", ""value"": 100}",,168,,See notes,,,,27,nyc,IL,us
,Acme Corp,Globex,contact@acme.com,user@,01-01-2020,NaT,,Trade Show,,0,False,False,,,two million five hundred thousand,1000000,42,,NA,169,,N/A,50.0,0.5656728401095495,49.0,214,nyc,NY,United States
Globex,Soylent,,contact@acme.com,missing.com,01-01-2020,2024-03-07 19:35:42.523571,,Email Campaign,,N/A,active,1,XYZ-00001,001C000003,Not Available,,2025-01-22 19:37:11.168105,N/A,US,170,,See notes,25.0,0.7038170573085205,0.0,394,chicago,NY,
Initech,Globex,,noemail,missing.com,not_a_date,NaT,,Social Media,,Fifty Thousand,,0,abc123,BAD_ID,"$1,000,000",1000000,2025-01-17 19:37:11.168107,"{""type"": ""A"", ""value"": 100}",North America,171,,,100.0,,32.0,481,Chicago,CA,U.S.
Initech,Umbrella,Initech,invalid@,user@,2025-07-07 19:35:42.522192,2022/12/01,Phone Inquiry,Email Campaign,50000,N/A,False,,XYZ-00001,001C000003,Not Available,1000000,,,United States,172,,N/A,10.0,0.5236030997193386,,472,New York,IL,us
Globex,Umbrella,Wonka,contact@acme.com,help@globex.com,,NaT,Web,Trade Show,1000,,,0,,001B000002,1000000.00,999999,,N/A,North America,173,,,100.0,0.4146955919253452,25.0,127,San Francisco,N.Y.,
Acme Corp,,,noemail,user@,2025-07-09 19:35:42.522196,2022/12/01,,Referral,Ten Thousand,N/A,yes,True,abc123,BAD_ID,"$1,000,000",1000000,,"{""type"": ""A"", ""value"": 100}",NA,174,,,50.0,,14.0,94,Chicago,CA,U.S.
,Acme Corp,Wonka,,user@,01-01-2020,NaT,,Trade Show,50000,25000,no,True,XYZ-00001,BAD_ID,1000000.00,1000000,42,,NA,175,,,25.0,0.711120475960693,19.0,365,,IL,United States
Acme Corp,Globex,,,user@,,2023-12-22 19:35:42.523589,,Referral,1000,Fifty Thousand,active,True,,12345,1000K,1000000,2025-06-29 19:37:11.168119,"{""type"": ""B"", ""value"": 200}",North America,176,,,10.0,0.3609116098376759,,370,,,us
Globex,,Globex,,user@,,,,Referral,,Fifty Thousand,yes,1,,,"$5,000,000",1000000,,N/A,N.A.,177,,See notes,10.0,,11.0,124,nyc,CA,us
Initech,,Wonka,invalid@,help@globex.com,01-01-2020,2023-11-02 19:35:42.523596,Partner,,Ten Thousand,N/A,yes,0,001A000001,12345,1000000.00,999999,2025-03-14 19:37:11.168123,"{""type"": ""B"", ""value"": 200}",US,178,,N/A,25.0,0.37055119555643024,37.0,5,San Francisco,Illinois,United States
,,Globex,invalid@,,not_a_date,2022-12-24 19:35:42.523599,,Email Campaign,Ten Thousand,25000,yes,0,XYZ-00001,,100000,,Called client,"{""type"": ""A"", ""value"": 100}",North America,179,,See notes,75.0,0.9471583692710385,40.0,418,chicago,N.Y.,United States
Initech,Globex,Globex,noemail,missing.com,01-01-2020,2022/12/01,,Email Campaign,,N/A,False,1,,12345,One Million,999999,2024-05-05,,,180,,N/A,10.0,,,182,San Francisco,California,
Globex,Globex,Initech,,missing.com,2024-09-19 19:35:42.522214,NaT,,Email Campaign,1000,N/A,,False,001A000001,12345,,1000000,Called client,N/A,United States,181,,Valid,100.0,0.26188847089903744,9.0,413,nyc,,United States
Globex,Umbrella,Initech,noemail,help@globex.com,01-01-2020,NaT,,Social Media,50000,N/A,True,False,,001B000002,2.5M,1000000,2024-05-05,"{""type"": ""A"", ""value"": 100}",United States,182,,,75.0,0.8896783564112076,32.0,207,,CA,USA
,Acme Corp,Initech,invalid@,user@,01-01-2020,NaT,Partner,Trade Show,,25000,False,0,001A000001,001B000002,1000000,999999,2024-05-05,"{""type"": null}",NA,183,,,10.0,,19.0,329,chicago,IL,us
Globex,Umbrella,Initech,,user@,01-01-2020,NaT,Partner,,50000,25000,False,1,,BAD_ID,1M,1000000,2025-06-10 19:37:11.168136,"{""type"": ""A"", ""value"": 100}",US,184,,,10.0,0.6426966763706001,,363,nyc,NY,
Globex,Umbrella,Wonka,invalid@,,2025-01-25 19:35:42.522229,2022/12/01,,Trade Show,,N/A,,False,XYZ-00001,001C000003,N/A,1000000,,"{""type"": null}",US,185,,Valid,75.0,0.49447969772260625,50.0,315,New York,NY,U.S.
,Globex,,noemail,help@globex.com,not_a_date,2023-04-26 19:35:42.523621,Web,,Ten Thousand,,no,False,XYZ-00001,BAD_ID,One Million,1000000,,"{""type"": null}",N.A.,186,,,25.0,,3.0,374,,Illinois,United States
Initech,Globex,,contact@acme.com,help@globex.com,not_a_date,NaT,Web,,50000,0,yes,True,,BAD_ID,100000,,,"{""type"": ""A"", ""value"": 100}",United States,187,,N/A,100.0,0.33453828989133416,47.0,237,Chicago,IL,United States
,Umbrella,Wonka,invalid@,user@,2024-12-30 19:35:42.522240,2022/12/01,,Social Media,,N/A,True,1,,12345,1000000,999999,2025-04-15 19:37:11.168145,"{""type"": ""A"", ""value"": 100}",,188,,,50.0,0.2894401779915585,,459,Chicago,NY,United States
Globex,Soylent,,,,not_a_date,2025-04-22 19:35:42.523628,Partner,Social Media,Ten Thousand,N/A,active,0,,BAD_ID,1000000.00,999999,42,"{""type"": ""B"", ""value"": 200}",North America,189,,N/A,25.0,,22.0,313,Chicago,IL,us
Globex,Umbrella,Initech,contact@acme.com,,,,,Email Campaign,Ten Thousand,Fifty Thousand,no,True,abc123,001B000002,100000,,2025-07-21 19:37:11.168149,"{""type"": ""A"", ""value"": 100}",US,190,,N/A,,0.3783463297826404,28.0,232,chicago,,us
,Soylent,Initech,noemail,,2025-01-23 19:35:42.522249,2024-12-04 19:35:42.523632,,,,Fifty Thousand,False,False,XYZ-00001,001B000002,one million,1000000,2024-05-05,"{""type"": ""A"", ""value"": 100}",US,191,,See notes,50.0,0.14905669365449392,32.0,419,,,
,Acme Corp,Globex,contact@acme.com,missing.com,not_a_date,2022/12/01,Phone Inquiry,,50000,,False,1,XYZ-00001,,100000,1000000,2025-04-06 19:37:11.168153,"{""type"": ""A"", ""value"": 100}",N.A.,192,,,10.0,,,48,New York,CA,United States
,Soylent,Globex,noemail,,01-01-2020,,,Trade Show,50000,0,no,0,001A000001,BAD_ID,Not Available,999999,2024-05-05,"{""type"": null}",N.A.,193,,Valid,100.0,0.6323280510002007,6.0,177,Chicago,CA,United States
Globex,Acme Corp,Initech,noemail,user@,not_a_date,NaT,Web,Referral,,N/A,True,0,,12345,"$5,000,000",999999,2024-05-05,N/A,North America,194,,,100.0,0.6240488526277087,19.0,265,nyc,IL,
,Umbrella,Initech,noemail,,not_a_date,2022/12/01,Web,,50000,,False,0,,001B000002,1000000,1000000,Called client,,United States,195,,,25.0,,5.0,230,,CA,U.S.
,,,invalid@,,2025-04-20 19:35:42.522259,NaT,,,1000,Fifty Thousand,True,1,,BAD_ID,1000000,1000000,2024-05-05,"{""type"": ""B"", ""value"": 200}",US,196,,Valid,75.0,0.938078558176182,,9,Chicago,,United States
,Acme Corp,Globex,contact@acme.com,,01-01-2020,2025-07-29 19:35:42.523649,Phone Inquiry,Email Campaign,,25000,no,0,XYZ-00001,001B000002,One Million,,Called client,"{""type"": ""B"", ""value"": 200}",NA,197,,See notes,25.0,0.35863487192279864,11.0,125,Chicago,NY,us
,Umbrella,Wonka,,help@globex.com,2025-03-05 19:35:42.522264,2022/12/01,,Referral,,0,no,True,abc123,001C000003,Not Available,1000000,Called client,"{""type"": ""B"", ""value"": 200}",North America,198,,,10.0,,12.0,180,,N.Y.,USA
,Soylent,,invalid@,missing.com,not_a_date,NaT,,Email Campaign,50000,25000,yes,,abc123,,"$1,000,000",1000000,Called client,N/A,NA,199,,,50.0,0.2181746296850383,19.0,92,,Illinois,United States
Globex,Acme Corp,Initech,contact@acme.com,help@globex.com,01-01-2020,,Phone Inquiry,Social Media,1000,0,False,False,abc123,12345,100000,999999,Called client,N/A,N.A.,200,,,75.0,0.6383064139870478,,377,chicago,,U.S.
Initech,Globex,Initech,contact@acme.com,user@,,,Phone Inquiry,Email Campaign,1000,,,,abc123,001B000002,100000,999999,2025-01-16 19:37:11.168176,"{""type"": ""B"", ""value"": 200}",N.A.,201,,See notes,,,35.0,228,nyc,California,U.S.
,Globex,Initech,noemail,user@,2024-08-11 19:35:42.522273,2024-04-30 19:35:42.523667,Web,Email Campaign,Ten Thousand,,False,0,XYZ-00001,001B000002,Not Available,999999,2024-10-20 19:37:11.168178,"{""type"": null}",US,202,,,75.0,0.5501717106987244,4.0,217,nyc,CA,us
Globex,Globex,,invalid@,missing.com,01-01-2020,2022/12/01,,,50000,,False,,,12345,"$1,000,000",1000000,2024-11-19 19:37:11.168180,,,203,,See notes,10.0,0.6256933493614578,20.0,341,New York,Illinois,us
Globex,,Initech,noemail,missing.com,01-01-2020,2025-07-30 19:35:42.523675,Partner,,1000,Fifty Thousand,False,1,abc123,12345,1000K,1000000,42,N/A,US,204,,N/A,100.0,,,497,,,United States
Acme Corp,Globex,Globex,,missing.com,,,,Email Campaign,,,False,1,abc123,12345,"$1,000,000",1000000,42,"{""type"": ""A"", ""value"": 100}",United States,205,,See notes,50.0,0.1610403758382849,42.0,462,nyc,N.Y.,
,Umbrella,Globex,noemail,,01-01-2020,,,Email Campaign,Ten Thousand,N/A,True,True,abc123,001B000002,1000000.00,999999,2024-10-17 19:37:11.168187,N/A,N.A.,206,,Valid,25.0,0.7778885879093365,43.0,287,,N.Y.,United States
,,Initech,,,not_a_date,NaT,Partner,Referral,50000,,yes,1,abc123,001C000003,one million,1000000,2025-02-08 19:37:11.168189,N/A,,207,,N/A,10.0,,37.0,79,New York,Illinois,
Acme Corp,Umbrella,Initech,contact@acme.com,missing.com,,,Web,Referral,1000,,False,False,,,1000000.00,999999,42,"{""type"": null}",,208,,,,0.7520136104509236,,155,New York,Illinois,U.S.
Initech,Soylent,Wonka,invalid@,help@globex.com,not_a_date,NaT,,Email Campaign,,25000,no,,001A000001,001B000002,One Million,999999,42,,,209,,,50.0,0.8663504107186673,36.0,22,Chicago,NY,United States
Globex,Globex,Initech,,missing.com,not_a_date,2022/12/01,Web,Social Media,,,False,0,,BAD_ID,One Million,1000000,2024-05-05,"{""type"": null}",US,210,,See notes,100.0,,10.0,138,Chicago,CA,United States
Globex,Umbrella,Initech,,user@,01-01-2020,,Web,,,25000,yes,1,abc123,001C000003,One Million,1000000,,"{""type"": null}",North America,211,,See notes,25.0,0.4897795237006516,26.0,257,San Francisco,N.Y.,United States
Globex,,Wonka,noemail,missing.com,2025-05-03 19:35:42.522307,2022/12/01,Web,Social Media,,25000,yes,True,abc123,BAD_ID,2.5M,1000000,2024-05-05,,,212,,See notes,,0.011973725836359805,,217,,N.Y.,U.S.
Globex,,,,user@,01-01-2020,,Web,,1000,N/A,True,,,001B000002,5000000,1000000,2024-12-22 19:37:11.168212,N/A,N.A.,213,,,25.0,,25.0,201,San Francisco,CA,
,Umbrella,,,help@globex.com,,2023-03-19 19:35:42.523698,Web,Social Media,,N/A,,False,XYZ-00001,,"$1,000,000",1000000,Called client,,N.A.,214,,,10.0,0.960118544943806,23.0,58,San Francisco,IL,USA
Acme Corp,Umbrella,Globex,noemail,help@globex.com,,2022-11-07 19:35:42.523700,Web,Referral,,Fifty Thousand,yes,True,,001C000003,2.5M,1000000,,,,215,,See notes,,0.521089615449753,38.0,344,,Illinois,U.S.
Initech,Globex,,invalid@,user@,not_a_date,NaT,,Referral,,0,no,False,XYZ-00001,12345,one million,1000000,Called client,"{""type"": ""B"", ""value"": 200}",North America,216,,N/A,75.0,,,277,,California,
Acme Corp,Globex,Globex,contact@acme.com,,01-01-2020,2025-03-31 19:35:42.523705,Partner,Referral,50000,N/A,False,,XYZ-00001,BAD_ID,100000,,Called client,,NA,217,,N/A,75.0,0.7134777627051648,32.0,87,chicago,N.Y.,us
Initech,Umbrella,Wonka,invalid@,user@,,,Web,Trade Show,50000,Fifty Thousand,True,,abc123,001C000003,two million five hundred thousand,999999,2024-05-05,"{""type"": ""B"", ""value"": 200}",N.A.,218,,See notes,100.0,0.03494007825045964,36.0,465,,IL,U.S.
,Umbrella,Wonka,noemail,help@globex.com,not_a_date,,Web,Email Campaign,1000,Fifty Thousand,yes,,,001C000003,One Million,,42,"{""type"": ""A"", ""value"": 100}",US,219,,,50.0,,31.0,410,chicago,IL,USA
Initech,Umbrella,Wonka,noemail,user@,not_a_date,,,Social Media,1000,,yes,,001A000001,12345,two million five hundred thousand,999999,Called client,,,220,,,100.0,0.33087563491619076,,15,,NY,us
,Globex,Wonka,invalid@,help@globex.com,,2024-06-24 19:35:42.523718,Phone Inquiry,,50000,Fifty Thousand,,0,001A000001,,100000,1000000,42,"{""type"": ""A"", ""value"": 100}",US,221,,See notes,10.0,0.6783674071246868,15.0,284,,California,United States
,Globex,Initech,invalid@,user@,2024-10-11 19:35:42.522330,2022/12/01,Web,Trade Show,50000,25000,True,False,,001C000003,"1,000,000",1000000,2025-02-28 19:37:11.168242,,NA,222,,Valid,50.0,,50.0,276,chicago,,USA
Globex,,,noemail,missing.com,2025-06-29 19:35:42.522333,NaT,Web,Social Media,,,False,,,001C000003,100000,999999,,,US,223,,,,0.9258862431767682,16.0,419,San Francisco,NY,USA
Initech,,Wonka,invalid@,,01-01-2020,2022/12/01,Web,,Ten Thousand,N/A,,False,,001B000002,100000,,Called client,"{""type"": ""B"", ""value"": 200}",US,224,,See notes,25.0,0.20013991846185752,,236,,N.Y.,
Globex,Umbrella,Globex,,,,,,Trade Show,Ten Thousand,N/A,yes,0,,,"1,000,000",,2025-03-22 19:37:11.168249,,N.A.,225,,Valid,10.0,,2.0,164,nyc,N.Y.,U.S.
Globex,Soylent,Wonka,,user@,not_a_date,2025-02-17 19:35:42.523737,Web,Referral,50000,0,yes,1,,BAD_ID,100000,999999,,,NA,226,,,100.0,0.5074413977919922,31.0,175,New York,Illinois,us
Globex,Globex,Wonka,,user@,2025-04-29 19:35:42.522341,2024-06-12 19:35:42.523739,Phone Inquiry,,50000,0,False,1,001A000001,BAD_ID,One Million,1000000,2025-05-30 19:37:11.168253,N/A,North America,227,,Valid,10.0,0.8188966436916774,40.0,440,,California,U.S.
Acme Corp,,,contact@acme.com,user@,2024-08-30 19:35:42.522343,,,,Ten Thousand,,active,True,001A000001,,2.5M,1000000,,"{""type"": ""A"", ""value"": 100}",North America,228,,,,,,397,San Francisco,CA,
